sku_id,nome_produto,categoria,subcategoria,fornecedor_id,lead_time_reposicao,custo_unitario,preco_venda_sugerido,estoque_fisico,estoque_reservado,estoque_disponivel,ponto_pedido,data_ultima_entrada,status_disponibilidade,shelf_life_dias,volume_m3,capital_imobilizado_custo,capital_potencial_venda,spread_markup_sugerido,em_risco_ruptura,is_descontinuado
SKU-00001,Regata Exclusivo Rosa,Moda,Regata,FORN-096,14,182.8,463.15,541,130,411,136,2023-01-28,Em Estoque,448,0.3141,75130.8,190354.65,2.53,False,False
SKU-00002,Luminária Artesanal Branco,Lifestyle,Luminária,FORN-050,57,246.44,578.86,128,35,93,12,2025-12-04,Em Estoque,448,0.2689,22918.92,53833.98,2.35,False,False
SKU-00003,Top Oversize Branco,Moda,Top,FORN-038,11,80.1,128.58,739,67,672,138,2023-09-04,Em Estoque,448,0.1499,53827.2,86405.76,1.61,False,False
SKU-00004,Kit Skincare Moderno Bege,Beleza,Kit Skincare,FORN-048,7,224.96,640.19,271,0,271,92,2024-01-04,Em Estoque,494,0.1205,60964.16,173491.49,2.85,False,False
SKU-00005,Camisa Social Básico Branco,Moda,Camisa Social,FORN-094,60,330.09,1044.66,545,32,513,131,2025-03-09,Em Estoque,448,0.3037,169336.17,535910.58,3.16,False,False
SKU-00006,Lenço Delicado Azul,Acessórios,Lenço,FORN-092,54,171.62,459.03,191,28,163,142,2024-02-08,Em Estoque,448,0.1697,27974.06,74821.89,2.67,False,False
SKU-00007,Protetor Solar Artesanal Azul,Beleza,Protetor Solar,FORN-001,6,288.98,489.59,34,0,34,94,2023-09-08,Estoque Crítico,465,0.3348,9825.32,16646.06,1.69,True,False
SKU-00008,Vestido Sport Nude,Moda,Vestido,FORN-074,60,112.34,264.76,499,110,389,100,2024-07-15,Em Estoque,448,0.028,43700.26,102991.64,2.36,False,False
SKU-00009,Relógio de Parede Básico Preto,Lifestyle,Relógio de Parede,FORN-052,55,324.23,575.45,98,6,92,147,2024-03-14,Estoque Crítico,448,0.0926,29829.16,52941.4,1.77,True,False
SKU-00010,Base Líquida Sustentável Prata,Beleza,Base Líquida,FORN-013,5,267.82,660.16,7,0,7,70,2023-07-16,Estoque Crítico,672,0.1077,1874.74,4621.12,2.46,True,False
SKU-00011,Sérum Facial Clássico Vermelho,Beleza,Sérum Facial,FORN-001,11,120.78,344.77,232,36,196,118,2025-12-26,Em Estoque,678,0.0782,23672.88,67574.92,2.85,False,False
SKU-00012,Camiseta Artesanal Prata,Moda,Camiseta,FORN-008,55,41.72,105.75,514,135,379,50,2023-09-03,Em Estoque,448,0.0352,15811.88,40079.25,2.53,False,False
SKU-00013,Jaqueta Edição Limitada Branco,Moda,Jaqueta,FORN-073,52,239.99,399.24,83,18,65,143,2024-05-07,Estoque Crítico,448,0.3352,15599.35,25950.6,1.66,True,False
SKU-00014,Shorts Edição Limitada Bege,Moda,Shorts,FORN-086,15,134.0,282.19,769,2,767,127,2025-10-04,Em Estoque,448,0.1074,102778.0,216439.73,2.11,False,False
SKU-00015,Blusa de Tricô Básico Azul,Moda,Blusa de Tricô,FORN-048,9,79.94,234.54,720,206,514,145,2023-11-27,Em Estoque,448,0.4659,41089.16,120553.56,2.93,False,False
SKU-00016,Vestido Slim Branco,Moda,Vestido,FORN-014,13,79.07,162.16,215,26,189,77,2025-08-09,Em Estoque,448,0.4232,14944.23,30648.24,2.05,False,False
SKU-00017,Moletom Luxo Rosa,Moda,Moletom,FORN-006,45,146.75,265.52,852,218,634,12,2023-02-23,Em Estoque,448,0.2732,93039.5,168339.68,1.81,False,False
SKU-00018,Espelho de Mesa Exclusivo Bege,Lifestyle,Espelho de Mesa,FORN-056,7,35.89,78.36,477,10,467,101,2023-11-08,Em Estoque,448,0.1775,16760.63,36594.12,2.18,False,False
SKU-00019,Batom Artesanal Bege,Beleza,Batom,FORN-031,7,390.96,1132.7,451,105,346,16,2023-12-11,Em Estoque,601,0.4013,135272.16,391914.2,2.9,False,False
SKU-00020,Pulseira Slim Bege,Acessórios,Pulseira,FORN-090,6,165.37,274.84,240,28,212,61,2024-06-10,Em Estoque,448,0.4358,35058.44,58266.08,1.66,False,False
SKU-00021,Top Moderno Vermelho,Moda,Top,FORN-043,9,348.45,1096.58,285,65,220,112,2025-09-11,Em Estoque,448,0.0586,76659.0,241247.6,3.15,False,False
SKU-00022,Óculos de Sol Artesanal Rosa,Acessórios,Óculos de Sol,FORN-005,48,246.7,531.17,402,40,362,121,2025-09-04,Em Estoque,448,0.2887,89305.4,192283.54,2.15,False,False
SKU-00023,Legging Edição Limitada Preto,Moda,Legging,FORN-067,51,158.4,271.17,680,159,521,90,2025-02-24,Em Estoque,448,0.2541,82526.4,141279.57,1.71,False,False
SKU-00024,Caderno Edição Limitada Rosa,Lifestyle,Caderno,FORN-071,7,92.9,247.48,194,43,151,54,2025-10-10,Em Estoque,448,0.417,14027.9,37369.48,2.66,False,False
SKU-00025,Jaqueta Edição Limitada Nude,Moda,Jaqueta,FORN-078,15,142.45,328.61,884,86,798,31,2024-09-22,Em Estoque,448,0.1683,113675.1,262230.78,2.31,False,False
SKU-00026,Garrafa Térmica Urban Rosa,Lifestyle,Garrafa Térmica,FORN-029,51,75.99,127.2,243,9,234,126,2024-11-19,Em Estoque,448,0.3485,17781.66,29764.8,1.67,False,False
SKU-00027,Protetor Solar Clássico Preto,Beleza,Protetor Solar,FORN-097,6,315.8,615.86,411,122,289,142,2024-01-18,Em Estoque,304,0.2288,91266.2,177983.54,1.95,False,False
SKU-00028,Relógio de Parede Exclusivo Prata,Lifestyle,Relógio de Parede,FORN-077,55,381.02,1153.07,313,92,221,139,2024-09-15,Em Estoque,448,0.3721,84205.42,254828.47,3.03,False,False
SKU-00029,Creme Hidratante Delicado Azul,Beleza,Creme Hidratante,FORN-082,53,311.01,757.02,320,30,290,80,2024-02-23,Em Estoque,507,0.4466,90192.9,219535.8,2.43,False,False
SKU-00030,Vestido Moderno Vermelho,Moda,Vestido,FORN-089,7,288.44,491.15,417,59,358,116,2023-04-27,Em Estoque,448,0.4525,103261.52,175831.7,1.7,False,False
SKU-00031,Sombra Premium Nude,Beleza,Sombra,FORN-049,12,22.24,48.1,385,49,336,117,2025-12-24,Em Estoque,405,0.2446,7472.64,16161.6,2.16,False,False
SKU-00032,Saia Premium Vermelho,Moda,Saia,FORN-044,15,278.07,624.8,169,8,161,146,2023-07-19,Em Estoque,448,0.0145,44769.27,100592.8,2.25,False,False
SKU-00033,Máscara de Cílios Luxo Dourado,Beleza,Máscara de Cílios,FORN-024,46,118.86,252.43,232,41,191,96,2024-05-25,Em Estoque,263,0.2357,22702.26,48214.13,2.12,False,False
SKU-00034,Vela Aromática Oversize Azul,Lifestyle,Vela Aromática,FORN-084,6,316.87,837.43,386,3,383,73,2023-01-20,Em Estoque,448,0.064,121361.21,320735.69,2.64,False,False
SKU-00035,Espelho de Mesa Moderno Dourado,Lifestyle,Espelho de Mesa,FORN-090,9,311.42,581.88,310,91,219,39,2023-05-04,Em Estoque,448,0.4645,68200.98,127431.72,1.87,False,False
SKU-00036,Batom Edição Limitada Azul,Beleza,Batom,FORN-010,52,58.72,166.53,435,30,405,20,2024-09-14,Em Estoque,529,0.0073,23781.6,67444.65,2.84,False,False
